Customer Name,SurveyID for external use (e.g. tech support),Club's Name,Social Media Source,Creation Date,Comment,Overall Score
Angie Solis,0f337974-81d0-4c49-a2d1-9ea673c3d95b,Ronaldport Gym,Google,2022-03-21,Classes are fun and motivating. Great equipment and clean facilities.,5
Keith Thomas,b96bbccb-e678-45e2-9a95-0f936aa3a028,West Tammyborough Gym,Google,2022-10-15,Staff are very friendly and helpful. Classes are fun and motivating.,5
Lauren Bennett,d08b956a-13d5-4515-8a16-cace07c0cecb,Davidside Gym,Google,2022-06-16,Locker rooms could be cleaner. Staff are very friendly and helpful.,4
Thomas Gonzalez,190e8379-a9cb-4d69-8117-33d289d278de,West Jonathan Gym,Google,2022-12-19,Parking is limited but manageable. Classes are fun and motivating. Locker rooms could be cleaner. Atmosphere is motivating and energetic.,4
Todd Sweeney,637a44f8-38c8-4191-9dad-469c055aad2c,North Linda Gym,Google,2023-03-05,Great equipment and clean facilities. Locker rooms could be cleaner. Classes are fun and motivating. Can get crowded during peak hours.,3
Matthew Nunez,a21e8b62-d4f1-4bbe-98a1-41df312c7c08,Kimborough Gym,Google,2022-08-08,Some machines were broken during my visit. Good variety of machines and weights. Great equipment and clean facilities. Atmosphere is motivating and energetic.,5
Suzanne Patterson,435405fe-bf21-4db1-a2aa-3b6214be4d0c,Michelleberg Gym,Google,2022-03-31,Great equipment and clean facilities. Atmosphere is motivating and energetic.,2
Susan Williams,b1df3c25-fcdf-46d0-bfca-b1a8aaa4b393,Williemouth Gym,Google,2024-02-08,Good variety of machines and weights. Easy to book classes online. Can get crowded during peak hours. Atmosphere is motivating and energetic.,5
Mark Howard,8bca09e3-644d-4900-abc6-14ed73e7508c,Allenland Gym,Google,2023-01-28,Classes are fun and motivating. Easy to book classes online.,1
Marc Leach,a5d47845-90ca-4c41-bd8a-0e39e2edd10d,West Luis Gym,Google,2023-12-15,Great equipment and clean facilities. Locker rooms could be cleaner.,1
Zachary Smith,c9698c28-5ed8-4044-ae2c-01c6a1f0f813,East Elizabethside Gym,Google,2023-06-10,Parking is limited but manageable. Easy to book classes online. Good variety of machines and weights.,2
Stephanie White,20dd3581-97ce-47df-a849-99f71ffe31d7,West Misty Gym,Google,2022-08-02,Easy to book classes online. Locker rooms could be cleaner. Atmosphere is motivating and energetic.,2
April Harper,764b00ec-c286-4f99-9f02-a1210719e415,New Margaret Gym,Google,2022-09-12,Parking is limited but manageable. Locker rooms could be cleaner.,4
Audrey Hughes,4c940a0d-96b5-4a1a-bef3-f64db815b5f5,Mccarthyland Gym,Google,2022-09-02,Can get crowded during peak hours. Good variety of machines and weights. Parking is limited but manageable. Some machines were broken during my visit.,3
Sharon Quinn,bb86d0b6-295b-4227-b6f1-8134d3d5460c,Darrylburgh Gym,Google,2023-06-03,Classes are fun and motivating. Some machines were broken during my visit. Easy to book classes online.,2
Teresa Jones,a0fc9242-af00-417f-89f3-4e6cda7b77a8,East Brian Gym,Google,2023-03-11,Parking is limited but manageable. Some machines were broken during my visit. Good variety of machines and weights. Can get crowded during peak hours.,2
Angela Perkins,8bb91558-45ad-4fc7-bc0c-2c64bfb9b7c8,Brittanyville Gym,Google,2023-09-19,Great equipment and clean facilities. Easy to book classes online. Locker rooms could be cleaner.,2
Jennifer Goodwin DDS,39a06cf2-0fc8-46af-a745-5808169d0d66,New Joshuatown Gym,Google,2022-04-09,Staff are very friendly and helpful. Great equipment and clean facilities.,5
Richard Lin,54252d03-e9b9-4e2f-baa3-fcf96ecd80c9,Fowlerside Gym,Google,2023-06-25,Easy to book classes online. Classes are fun and motivating. Parking is limited but manageable.,5
Susan Sullivan,a77c8486-e379-4af7-becd-f31769cbddd1,Josephhaven Gym,Google,2023-02-10,Atmosphere is motivating and energetic. Some machines were broken during my visit.,5
Haley Evans,a1d57e89-f255-40a2-9298-32d87ebcbb49,Lake Meredith Gym,Google,2023-06-05,Locker rooms could be cleaner. Good variety of machines and weights. Parking is limited but manageable.,3
Elizabeth Gordon,d0d7cb24-c4cf-4d57-b611-dcac522e80da,Aprilview Gym,Google,2024-01-18,Locker rooms could be cleaner. Some machines were broken during my visit.,2
Joseph Skinner,1e97aa35-5572-47d2-8e9f-7f0ebb00e1e4,Brianhaven Gym,Google,2022-10-14,Locker rooms could be cleaner. Good variety of machines and weights.,2
Kristin Murphy,8badbfcd-da17-441a-937a-a55fc2792dc9,Hernandezland Gym,Google,2023-09-14,Easy to book classes online. Staff are very friendly and helpful. Locker rooms could be cleaner. Classes are fun and motivating.,1
Eric Greene,6bce1f41-df50-417c-9647-668b05178d05,Saraside Gym,Google,2023-02-06,Some machines were broken during my visit. Staff are very friendly and helpful. Easy to book classes online.,3
Catherine Benson,a6de6147-d5fe-4ec4-88de-4fc8ce8b9e95,Christineton Gym,Google,2023-03-26,Classes are fun and motivating. Good variety of machines and weights. Parking is limited but manageable.,1
Thomas Griffin,8831531b-c262-4852-b67c-8139a55c1341,Sanchezbury Gym,Google,2023-02-28,Locker rooms could be cleaner. Great equipment and clean facilities. Staff are very friendly and helpful.,3
Meagan Warner,72cdedfd-8d53-4f2f-a3e2-61717f1ffc1e,Sparksmouth Gym,Google,2022-10-24,Good variety of machines and weights. Easy to book classes online.,4
Taylor Thompson,cbf85a7a-de98-4618-ba8e-4c76092c0866,East Daleville Gym,Google,2024-03-24,Easy to book classes online. Staff are very friendly and helpful.,1
Brandon Duran,8eeb4057-a8cf-4eda-9e9c-e9dda5ad41ce,East Bethany Gym,Google,2023-05-03,Great equipment and clean facilities. Atmosphere is motivating and energetic. Parking is limited but manageable. Can get crowded during peak hours.,1
Kara Elliott,780ba7a1-cc9a-4d25-8b94-625922e2331c,Jesseville Gym,Google,2022-06-27,Staff are very friendly and helpful. Parking is limited but manageable. Classes are fun and motivating.,4
William Contreras,9fb27795-1d55-4cdd-bd09-ab268ce022aa,South Juliefort Gym,Google,2023-11-07,Can get crowded during peak hours. Locker rooms could be cleaner. Great equipment and clean facilities. Atmosphere is motivating and energetic.,4
Daniel Brown,38148244-c15a-4db1-85b2-2173e70dbe13,North Chad Gym,Google,2023-02-03,Parking is limited but manageable. Easy to book classes online. Staff are very friendly and helpful. Good variety of machines and weights.,2
Suzanne Moore,5d96cdcc-3bf6-4791-9f19-05ae3ad67653,Thomasport Gym,Google,2022-04-22,Can get crowded during peak hours. Good variety of machines and weights.,4
Steven Ware,f86b6ec7-8961-4eb5-b556-32363b3cac04,South Andreshire Gym,Google,2023-05-24,Good variety of machines and weights. Some machines were broken during my visit. Can get crowded during peak hours.,4
Hannah Hanna,93739d8c-cce3-4213-817f-2e1b2b808442,Rebeccamouth Gym,Google,2022-10-31,Atmosphere is motivating and energetic. Staff are very friendly and helpful. Classes are fun and motivating. Can get crowded during peak hours.,5
Anna Graham,624f66e6-e58f-4f14-af11-4686c9b9e0c2,Lake Maryshire Gym,Google,2022-09-29,Easy to book classes online. Some machines were broken during my visit.,5
Deborah Sanders,c83c6012-cb87-4488-8d43-d0fe1adee2b3,Erinberg Gym,Google,2022-07-02,Can get crowded during peak hours. Atmosphere is motivating and energetic.,5
Kevin Edwards,9f864fe6-c58d-4558-a889-ef92f9dd1559,East Sherryberg Gym,Google,2024-04-10,Classes are fun and motivating. Good variety of machines and weights.,2
Carolyn Johnson,5df25c78-8383-466e-915f-2cd4ebde75c0,West Cynthia Gym,Google,2023-06-24,Easy to book classes online. Can get crowded during peak hours.,2
Laura Castro,9eb6eba1-1c71-45c4-8176-a5d4aa0943d4,North Kaitlynstad Gym,Google,2022-12-28,Classes are fun and motivating. Easy to book classes online. Parking is limited but manageable. Atmosphere is motivating and energetic.,4
Kevin Andrade,09719661-4f80-4612-b965-4432b42819c0,Lake Aimee Gym,Google,2022-05-14,Good variety of machines and weights. Classes are fun and motivating. Can get crowded during peak hours. Parking is limited but manageable.,3
Brian Taylor,f118419b-491f-4d6a-9d1e-92ae1ef174e5,Ashleebury Gym,Google,2023-03-12,Locker rooms could be cleaner. Staff are very friendly and helpful. Parking is limited but manageable.,4
Mason Rodriguez,dcbcc8ed-8340-43ee-8d70-e76157a8e287,Johnsonview Gym,Google,2023-12-11,Some machines were broken during my visit. Great equipment and clean facilities.,1
Daniel Martin,6a7ba362-39b4-4151-95f9-1e21dc3a48f2,South Kenneth Gym,Google,2024-03-11,Locker rooms could be cleaner. Can get crowded during peak hours. Some machines were broken during my visit.,4
Michael Hughes,b060cfbe-ae1d-432e-8ccb-5fe4cdf532ab,New Donald Gym,Google,2022-03-07,Great equipment and clean facilities. Atmosphere is motivating and energetic. Some machines were broken during my visit. Can get crowded during peak hours.,4
Mitchell Davis,7b8a1501-07f5-4407-a2ca-a71e60e28bd6,East Breannafort Gym,Google,2022-12-20,Can get crowded during peak hours. Parking is limited but manageable. Staff are very friendly and helpful. Atmosphere is motivating and energetic.,1
Mark Martinez,81dd217d-1072-436e-a516-672da06a84d1,Ellisonfort Gym,Google,2022-12-23,Parking is limited but manageable. Easy to book classes online. Atmosphere is motivating and energetic. Locker rooms could be cleaner.,5
Ronald Lynch,4ea830b8-fcf0-480d-8ca3-444bc18d57c7,Bradleytown Gym,Google,2022-09-07,Classes are fun and motivating. Good variety of machines and weights. Parking is limited but manageable. Some machines were broken during my visit.,3
Angel Moore,ee5e2a09-1d40-4cce-b370-5b4e38080a5d,Caitlinport Gym,Google,2022-06-21,Some machines were broken during my visit. Classes are fun and motivating.,2
Kelly Park,aacb5bcc-9ae6-4f3f-88e9-b8c923d7ecb4,Carpenterfurt Gym,Google,2023-08-19,Parking is limited but manageable. Some machines were broken during my visit. Easy to book classes online.,4
Jennifer Jordan,2c318956-4bc6-4cd0-b292-254835c090aa,North Rebecca Gym,Google,2023-12-29,Can get crowded during peak hours. Great equipment and clean facilities. Easy to book classes online. Atmosphere is motivating and energetic.,1
Jordan Smith,8df11318-0ead-494e-ab0b-2793b05b4195,North Edwin Gym,Google,2022-11-20,Some machines were broken during my visit. Locker rooms could be cleaner. Good variety of machines and weights.,2
Melissa Edwards,df84a55c-e014-48c3-9fca-f71658856d8c,Jackfort Gym,Google,2024-03-03,Classes are fun and motivating. Parking is limited but manageable. Some machines were broken during my visit.,5
Teresa Webster,6c9ea842-bccf-47ad-8389-b4c2aa135d6c,Henryborough Gym,Google,2022-08-27,Locker rooms could be cleaner. Can get crowded during peak hours. Good variety of machines and weights.,2
Rachel Benton,f35477af-89de-4524-9348-87b47b72bd4d,Tinaberg Gym,Google,2023-08-31,Easy to book classes online. Some machines were broken during my visit. Atmosphere is motivating and energetic.,2
Jeffrey Simmons,1d438dff-a872-4023-aa76-52f5bd907862,Port Cindy Gym,Google,2023-10-12,Good variety of machines and weights. Easy to book classes online. Parking is limited but manageable. Staff are very friendly and helpful.,5
Brett Diaz,eb5bc559-eb8e-4018-a5c5-4f7546036ee9,Charlesview Gym,Google,2023-03-21,Easy to book classes online. Great equipment and clean facilities. Locker rooms could be cleaner.,2
Troy Myers,83ed1571-dde1-4f35-b061-bfdfd292f2d2,South Lucasberg Gym,Google,2023-01-16,Atmosphere is motivating and energetic. Some machines were broken during my visit. Locker rooms could be cleaner.,2
Benjamin Gonzalez,764e1341-20f9-4f43-96f7-a89e223fa9eb,North Sheliashire Gym,Google,2024-03-11,Great equipment and clean facilities. Some machines were broken during my visit.,4
James Howard,eacb09fb-9141-477c-afdb-9da3ba3b337c,South George Gym,Google,2023-09-03,Classes are fun and motivating. Great equipment and clean facilities.,1
Tracy Freeman,c2fd93d1-0b1c-483d-b5a3-92387b887af5,Jameschester Gym,Google,2023-07-03,Great equipment and clean facilities. Good variety of machines and weights. Easy to book classes online. Atmosphere is motivating and energetic.,5
Christine Schultz,1411d58f-70ff-4550-9707-892fc6d78f55,Maloneburgh Gym,Google,2022-05-19,Staff are very friendly and helpful. Locker rooms could be cleaner. Easy to book classes online.,3
Bernard Johnson,482b0077-1f32-4cc7-95db-9d38db9613fb,East Lisaport Gym,Google,2022-05-31,Can get crowded during peak hours. Classes are fun and motivating.,2
Marvin Francis,f970486b-e660-445e-b04d-9d9fcf362398,New Peggymouth Gym,Google,2024-02-26,Locker rooms could be cleaner. Some machines were broken during my visit. Atmosphere is motivating and energetic.,1
Mark Bradley,1f18f986-6189-4f7b-ac02-ef118f7956d4,East Johnchester Gym,Google,2023-10-12,Parking is limited but manageable. Locker rooms could be cleaner.,4
Kelly Williams,0a2b970b-a9a3-4ecf-9f4b-48826dc0e206,New Tiffanyhaven Gym,Google,2024-04-29,Great equipment and clean facilities. Atmosphere is motivating and energetic.,2
Ellen Riddle,4365ab48-0d3a-4af0-88fe-3e51f931ab10,Lake Robertfort Gym,Google,2024-01-25,Classes are fun and motivating. Good variety of machines and weights.,4
Jesse Copeland,46294570-32d3-4123-9f67-9d7e8c5536ce,Lake Traceystad Gym,Google,2022-05-13,Atmosphere is motivating and energetic. Classes are fun and motivating.,4
Melissa Hernandez,e720a5a2-3923-4bdd-93be-f169c5ed14de,Josephville Gym,Google,2022-10-21,Parking is limited but manageable. Atmosphere is motivating and energetic. Great equipment and clean facilities.,2
Emily White,03bb739b-a684-4f7d-9749-7137ef613a31,Deniseborough Gym,Google,2023-03-10,Good variety of machines and weights. Great equipment and clean facilities. Classes are fun and motivating. Can get crowded during peak hours.,1
Thomas Nelson DVM,ac6a2c46-311a-4369-88ed-2cad4aebb409,Jamesfort Gym,Google,2024-03-22,Some machines were broken during my visit. Classes are fun and motivating. Atmosphere is motivating and energetic. Locker rooms could be cleaner.,4
Deanna Ramirez,8d0770de-a0ef-42c8-ad3d-0b92ddcd2dd9,Simonview Gym,Google,2022-11-24,Parking is limited but manageable. Staff are very friendly and helpful. Easy to book classes online. Some machines were broken during my visit.,5
Jodi Hernandez,6b7d4305-6042-4582-9fb8-67417fecdb0c,Lake Daniel Gym,Google,2023-05-06,Atmosphere is motivating and energetic. Staff are very friendly and helpful.,3
Crystal Mathis,f9f144fe-b592-42d3-8172-599807db40da,Tammyville Gym,Google,2023-12-12,Staff are very friendly and helpful. Locker rooms could be cleaner. Some machines were broken during my visit.,4
Christopher Craig,2fa6b741-29f2-4df9-9e03-22ecea149921,Lauraburgh Gym,Google,2022-03-07,Great equipment and clean facilities. Some machines were broken during my visit.,5
Connie Ford,4954676f-7f68-416e-9f0f-1ad45aa1185f,Shaunstad Gym,Google,2024-01-29,Great equipment and clean facilities. Parking is limited but manageable. Some machines were broken during my visit. Easy to book classes online.,3
Robert Arnold,2080eef6-7cb4-42a1-9a54-2fded0a00c3a,Port Timothytown Gym,Google,2022-06-21,Good variety of machines and weights. Atmosphere is motivating and energetic. Parking is limited but manageable.,1
David Williamson,b4698f01-400e-4096-afd6-8fbdf46a3f53,Port Sherry Gym,Google,2022-08-13,Easy to book classes online. Classes are fun and motivating.,3
Jennifer Davies,1b6f5d33-ae33-448f-a3a8-2403ebdf4bb6,Erictown Gym,Google,2023-11-08,Easy to book classes online. Parking is limited but manageable. Atmosphere is motivating and energetic. Some machines were broken during my visit.,4
Jason Evans,da9424f5-e5f2-4937-9929-1fe03e8da88d,New David Gym,Google,2023-09-15,Easy to book classes online. Some machines were broken during my visit.,4
Scott Barker,83342909-6325-406c-80cb-50bceb4354ac,North Brandon Gym,Google,2023-05-05,Classes are fun and motivating. Locker rooms could be cleaner.,2
Joseph Cruz,8a1d326e-996d-47df-a60e-beeadeab71f5,South Jerry Gym,Google,2022-09-10,Atmosphere is motivating and energetic. Easy to book classes online. Locker rooms could be cleaner.,4
Sabrina Carpenter,05a6cc47-65cf-45f0-8908-ede490d5047b,Watsonport Gym,Google,2023-12-11,Locker rooms could be cleaner. Staff are very friendly and helpful. Can get crowded during peak hours. Some machines were broken during my visit.,2
Michael Compton,ebc03885-c2f2-4677-8229-61246f40141e,Flemingland Gym,Google,2023-08-27,Staff are very friendly and helpful. Atmosphere is motivating and energetic.,4
Kelly Sims,e67a86f8-854a-4352-acf2-c76ff5105aba,New Rebecca Gym,Google,2022-09-02,Great equipment and clean facilities. Some machines were broken during my visit. Locker rooms could be cleaner. Good variety of machines and weights.,5
Patricia Joyce,c3db2d29-00aa-46be-b487-c3704c4891be,Kramerhaven Gym,Google,2024-04-06,Staff are very friendly and helpful. Great equipment and clean facilities. Atmosphere is motivating and energetic.,3
Lauren Cantu,9d594f6c-cc84-4c1d-aa8c-d14a2ed455bd,Kathyside Gym,Google,2023-07-26,Parking is limited but manageable. Classes are fun and motivating. Good variety of machines and weights.,3
Jesus Johnson,518ffb0a-4d83-45a8-994b-34841661fd2e,North Tammy Gym,Google,2023-06-25,Good variety of machines and weights. Classes are fun and motivating.,5
John Gregory,d5cd437e-2c5c-4692-ba89-41c981ffa50d,Port Juliechester Gym,Google,2024-04-01,Can get crowded during peak hours. Locker rooms could be cleaner. Some machines were broken during my visit. Parking is limited but manageable.,5
Debra Wilson,098d1b34-a8f2-4233-a69d-ec0939aed913,Cindyside Gym,Google,2022-10-23,Staff are very friendly and helpful. Easy to book classes online.,3
Jay Thomas,b2967e7f-678c-4dab-ad6c-b42f9436168c,Port Kristi Gym,Google,2024-04-25,Classes are fun and motivating. Atmosphere is motivating and energetic. Great equipment and clean facilities.,5
Adam Schwartz,f3c4fd6f-23b0-46e7-a177-cc78f2e065f7,Brandyland Gym,Google,2022-06-29,Parking is limited but manageable. Easy to book classes online. Classes are fun and motivating.,3
Ralph Torres,a53c6f46-9c44-466d-a1fd-6b9822ffb257,Holdershire Gym,Google,2024-04-11,Can get crowded during peak hours. Some machines were broken during my visit.,4
Lisa Martinez,ff85a677-e262-4158-a5a0-45537fbd7a9a,Garretthaven Gym,Google,2024-01-30,Classes are fun and motivating. Some machines were broken during my visit. Great equipment and clean facilities.,1
Susan Hart,77b17b94-5c95-4225-a3a0-68e74db255f8,Toddmouth Gym,Google,2023-12-20,Can get crowded during peak hours. Some machines were broken during my visit. Easy to book classes online.,2
Julia Perez,54661bd6-8abf-4d39-b77e-e8e4190165a8,Robertburgh Gym,Google,2022-10-23,Staff are very friendly and helpful. Great equipment and clean facilities.,2
Jessica Cross,f2d87e36-9a18-4e56-9f57-e899c0d913f7,South Andrew Gym,Google,2022-11-28,Atmosphere is motivating and energetic. Good variety of machines and weights.,5
Billy Moore,c0bc182a-dcd9-48e9-9ffa-7c0024d6e1c2,Tonyaside Gym,Google,2024-03-27,Great equipment and clean facilities. Some machines were broken during my visit. Parking is limited but manageable. Staff are very friendly and helpful.,4
Ashley James,b7a86696-91b2-4211-867f-bbf4da1b7b56,East Daniel Gym,Google,2022-03-15,Staff are very friendly and helpful. Atmosphere is motivating and energetic.,5
Veronica Wiley,55ccae6c-b420-4dc1-abec-b16569300877,East Troychester Gym,Google,2023-08-12,Locker rooms could be cleaner. Can get crowded during peak hours.,4
Andrea Mendoza,27a63a23-e128-49e9-a03e-3bcfa3d0616b,Benderland Gym,Google,2023-10-09,Atmosphere is motivating and energetic. Some machines were broken during my visit. Locker rooms could be cleaner.,4
Timothy Ward,98794b65-4512-4e68-b716-dca67cd4bd58,Sallyhaven Gym,Google,2023-02-27,Classes are fun and motivating. Parking is limited but manageable.,5
Carla Prince,b8b30216-52c0-4015-9a67-7d973265d4a6,Fletcherstad Gym,Google,2023-03-08,Staff are very friendly and helpful. Parking is limited but manageable.,1
Susan Keller,d26ac612-86d7-4b91-bf34-1071888dee83,Munozland Gym,Google,2022-06-14,Staff are very friendly and helpful. Easy to book classes online.,3
Nicholas Johnson,bff334e0-7d51-4447-8650-9bff402ba70f,Brandymouth Gym,Google,2022-03-12,Classes are fun and motivating. Good variety of machines and weights.,5
Alicia Garcia DDS,4ab83ded-52dd-427b-aa1a-269744675eea,Matthewshire Gym,Google,2022-05-05,Great equipment and clean facilities. Good variety of machines and weights. Parking is limited but manageable. Staff are very friendly and helpful.,5
Martha Bruce,ad1ef51c-7251-4315-a342-cfba617530e0,Josefurt Gym,Google,2022-05-25,Easy to book classes online. Classes are fun and motivating. Some machines were broken during my visit. Staff are very friendly and helpful.,5
Marisa Berry,c8d6f6d7-1713-47ed-86b6-1f6845bd3390,Ayalaberg Gym,Google,2022-11-21,Classes are fun and motivating. Can get crowded during peak hours.,3
Sheryl Edwards,b1652d52-f281-45e4-b3a7-5a8575171ba0,Alexandraburgh Gym,Google,2024-04-23,Some machines were broken during my visit. Atmosphere is motivating and energetic.,5
Kyle Curtis,ae9fb504-b514-4693-ae19-899507ebe8c2,South Andreaton Gym,Google,2023-06-07,Can get crowded during peak hours. Staff are very friendly and helpful. Great equipment and clean facilities.,5
Amy Brown,a5d3ac5d-4443-4468-b343-9a4bcd90391d,Gonzalezton Gym,Google,2023-02-04,Great equipment and clean facilities. Easy to book classes online.,5
Dominique Williams,6fdfb8e0-5e32-4b0c-9b81-1fd8425cdada,New Michaelside Gym,Google,2022-08-29,Atmosphere is motivating and energetic. Easy to book classes online. Good variety of machines and weights. Great equipment and clean facilities.,1
Catherine Williamson,681cdb77-d194-4fde-8145-ff42a77edfd2,Haneyton Gym,Google,2023-09-28,Easy to book classes online. Locker rooms could be cleaner. Good variety of machines and weights.,2
Jennifer Smith,aaafeeaa-14fb-48f8-b1d9-ec1b26772b83,Robertland Gym,Google,2022-04-02,Classes are fun and motivating. Easy to book classes online.,5
Charles Navarro,b286452c-2b76-4936-808b-2c4896b878a9,Jeremyside Gym,Google,2024-03-30,Good variety of machines and weights. Staff are very friendly and helpful. Classes are fun and motivating.,4
Lisa Payne,ff7e4019-320a-4b65-9101-612788656175,Frankville Gym,Google,2023-02-20,Some machines were broken during my visit. Parking is limited but manageable. Locker rooms could be cleaner. Great equipment and clean facilities.,5
Terri Stewart,22b4a22a-3c8a-4883-9cdd-2d0f7927497a,East Andrewborough Gym,Google,2024-03-03,Easy to book classes online. Staff are very friendly and helpful.,2
Darrell Hall,45e2f335-6d23-42cc-ac56-ad85537a7025,Justinstad Gym,Google,2023-03-05,Good variety of machines and weights. Parking is limited but manageable. Locker rooms could be cleaner.,1
Patricia Campbell,6944564c-cd3c-48f7-abb4-5d67aa420d4f,Juliehaven Gym,Google,2023-09-14,Atmosphere is motivating and energetic. Classes are fun and motivating.,5
Karen Stevens,e067c7e3-c853-4cc4-956f-d698416b3496,North Charlesfort Gym,Google,2023-06-02,Locker rooms could be cleaner. Parking is limited but manageable.,2
Katherine Munoz,ea43a9c0-b7c3-4c2e-9652-cd84cb7d594c,New Lisa Gym,Google,2023-10-20,Atmosphere is motivating and energetic. Some machines were broken during my visit.,1
Gary Fernandez,20a4bbcb-304d-4fce-99ed-9e0262130414,Brooksstad Gym,Google,2022-08-06,Locker rooms could be cleaner. Easy to book classes online.,1
Stephanie Lucero,7fcc8343-3d88-4769-8bf9-02e4d18afb30,Farmermouth Gym,Google,2022-12-24,Parking is limited but manageable. Can get crowded during peak hours.,5
Katie Howard,69247336-4a1c-48f9-a902-552e23c3e10d,Christopherfort Gym,Google,2022-03-22,Atmosphere is motivating and energetic. Can get crowded during peak hours. Staff are very friendly and helpful. Good variety of machines and weights.,1
Mark Johnson,a12c8c3e-c069-4d47-be5c-ca13b223f688,South Debrachester Gym,Google,2023-09-16,Great equipment and clean facilities. Staff are very friendly and helpful. Parking is limited but manageable.,2
Trevor Martinez,b2018094-dffc-417f-a7a4-9dde37393de6,Summerston Gym,Google,2023-09-20,Some machines were broken during my visit. Atmosphere is motivating and energetic.,1
David Olson,9dab59f7-6195-4118-b80c-cff07b227509,Davisfort Gym,Google,2022-11-11,Can get crowded during peak hours. Staff are very friendly and helpful.,3
Derek Sloan,ae37964a-5c59-4609-acd2-e69decffef8a,Lake Oliviaberg Gym,Google,2024-05-06,Locker rooms could be cleaner. Can get crowded during peak hours. Atmosphere is motivating and energetic.,3
Heather Bauer,c1aacae5-c6cc-4aaa-936d-b619ee8dec07,Besttown Gym,Google,2022-06-13,Parking is limited but manageable. Classes are fun and motivating.,5
Maria Neal,80a4fcac-f63e-436d-8abf-d417c8e2bd43,South Eric Gym,Google,2023-02-16,Good variety of machines and weights. Classes are fun and motivating. Some machines were broken during my visit.,3
Keith Jenkins,6f1a482c-1654-4368-b3fa-bd78479a8832,Christopherville Gym,Google,2022-12-31,Great equipment and clean facilities. Parking is limited but manageable. Can get crowded during peak hours. Easy to book classes online.,2
Megan Fox,51e354d9-844a-4926-aa57-58f71c847eb5,West Cassandrafort Gym,Google,2023-12-28,Locker rooms could be cleaner. Good variety of machines and weights. Can get crowded during peak hours. Parking is limited but manageable.,2
Teresa Williams,6228a0bf-3ad3-4945-8685-21d27d2ead6f,Lake Jorgeberg Gym,Google,2023-01-30,Good variety of machines and weights. Easy to book classes online. Classes are fun and motivating.,5
Bryan Pruitt,26d5bbd2-4945-450a-bcc0-2bbc06dcb6bc,New Adamburgh Gym,Google,2023-07-03,Can get crowded during peak hours. Good variety of machines and weights.,4
Amber Nelson,49338313-c1f1-482a-99bc-8de2dad0a69c,South Oscarville Gym,Google,2022-10-16,Some machines were broken during my visit. Atmosphere is motivating and energetic. Classes are fun and motivating.,5
Suzanne Mullins,45a771b0-260a-494b-be90-308e76d2dc52,Ritashire Gym,Google,2023-07-18,Can get crowded during peak hours. Locker rooms could be cleaner. Atmosphere is motivating and energetic. Great equipment and clean facilities.,2
Amy Hansen,6a6095c2-8307-446e-9458-d97c6dfb5290,New Judith Gym,Google,2023-02-01,Good variety of machines and weights. Staff are very friendly and helpful. Can get crowded during peak hours.,4
Angela Smith,d1dd1b0b-1435-447a-958f-c9dd24a5e520,Robertsstad Gym,Google,2023-04-05,Great equipment and clean facilities. Classes are fun and motivating. Some machines were broken during my visit. Can get crowded during peak hours.,1
Lisa Bell,7643fdd3-6012-479f-88c8-9866c5302715,Lesliestad Gym,Google,2022-11-27,Some machines were broken during my visit. Can get crowded during peak hours. Staff are very friendly and helpful. Great equipment and clean facilities.,4
Eric Williams,49da4726-ca88-411a-a719-bef9a85d2fb4,Bowmanton Gym,Google,2023-11-06,Some machines were broken during my visit. Classes are fun and motivating. Atmosphere is motivating and energetic.,1
Marc Gonzalez DDS,52d17355-c582-4934-9976-0d6233c74efe,Williamsfurt Gym,Google,2023-12-17,Classes are fun and motivating. Some machines were broken during my visit.,3
Sara Moses,1678b346-9551-4263-93d0-a3602f4ba89b,Jasonport Gym,Google,2024-03-12,Atmosphere is motivating and energetic. Some machines were broken during my visit. Staff are very friendly and helpful. Easy to book classes online.,4
Gabrielle Hancock,a14b932d-aa11-40f5-a564-9b3f16aec0d9,New Jenniferview Gym,Google,2023-07-06,Parking is limited but manageable. Atmosphere is motivating and energetic.,4
Kendra Hamilton,a6b13ac7-9f2c-4e87-9b20-5eb9641bdf98,Meltonmouth Gym,Google,2022-11-19,Great equipment and clean facilities. Staff are very friendly and helpful. Easy to book classes online. Some machines were broken during my visit.,3
Anna Williams,ce8d5637-27cd-48bb-abb5-eb7d0771133d,Gibsonbury Gym,Google,2023-09-13,Locker rooms could be cleaner. Can get crowded during peak hours.,3
Tiffany Herman,959f3d1e-6555-4e5d-ae25-2f483eeb4cba,Parkerport Gym,Google,2023-12-14,Can get crowded during peak hours. Easy to book classes online. Staff are very friendly and helpful.,2
Terry Curtis,8321b4ba-c400-49f7-92f0-76ea41729fd1,Wilsonside Gym,Google,2024-04-18,Some machines were broken during my visit. Can get crowded during peak hours.,3
Nicole Kelly,c156d467-804e-4806-8182-6530854cfc2c,Riverachester Gym,Google,2023-07-04,Can get crowded during peak hours. Locker rooms could be cleaner.,2
Ashley Moore,7741383e-47b8-46d5-854b-ed8e58ee6913,Matthewchester Gym,Google,2023-08-30,Good variety of machines and weights. Classes are fun and motivating. Can get crowded during peak hours.,4
Seth Zavala,8dd32b0c-6b0a-40bc-b29a-94500b8f3a11,Jamesfurt Gym,Google,2023-06-19,Great equipment and clean facilities. Parking is limited but manageable. Easy to book classes online.,3
